"doi","doi_raw","source","date","title","abstract_text","abstract_available","linked_project_available","raw_id","matched_query_term","prefilter_pass","title_match","abstract_match","ema_exclusive","triage_status","triage_model","triage_prompt_version","triage_timestamp","relevant_esm","empirical_study","data_openly_available","data_access_route","priority","confidence","reason","raw_model_response","error_message"
"10.1080/09669582.2026.2715624","https://doi.org/10.1080/09669582.2026.2715624","openalex","2026-08-11","For the self or the environment? Customer mistreatment and pro-environmental behavior","Despite a wide investigation on the antecedents of pro-environmental behavior (PEB), factors in employee–customer interactions are poorly understood. This research, drawing from self-concept theory, theorizes that customer mistreatment impairs employees’ state self-concept (i.e., work meaningfulness), which results in decreased PEB. Moreover, employees’ trait self-concepts, i.e., self-orientation and environment-orientation, moderate the main effects. In particular, employees’ self-orientation strengthens customer mistreatment’s negative effect on work meaningfulness and subsequent PEB, while their environment-orientation protects such an effect and even reduces the negative effects of self-orientation. All our hypotheses were confirmed across a ten-day consecutive daily diary research and an experiment. This research not only enriches the antecedents and underlying mechanisms of PEB but also provides effective guidance for fostering employees’ PEB.",TRUE,FALSE,"https://openalex.org/W7202181469","daily diary",TRUE,FALSE,TRUE,FALSE,"ok","mistral-medium-3.5-128b","v2","2026-08-13 10:15:22 CEST",TRUE,TRUE,FALSE,"unclear","medium",0.9,"Empirical study with ten-day consecutive daily diary research (ESM/EMA-like), but no explicit mention of open/public data or access route.","{ ""relevant_esm"": true, ""empirical_study"": true, ""data_openly_available"": false, ""data_access_route"": ""unclear"", ""priority"": ""medium"", ""confidence"": 0.9, ""reason"": ""Empirical study with ten-day consecutive daily diary research (ESM/EMA-like), but no explicit mention of open/public data or access route."" }",
"10.1108/ijchm-12-2025-1846","https://doi.org/10.1108/ijchm-12-2025-1846","openalex","2026-08-11","An employee lens on the dark and bright sides of customer dissatisfaction","Purpose Customer dissatisfaction has long been studied in the hospitality marketing literature for its powerful impacts on customer outcomes, but it has rarely been examined from the perspective of hospitality employees. Drawing on the theory of workplace anxiety, this research aims to explore how perceived customer dissatisfaction impacts employees’ emotional state of anxiety and subsequent behavioral responses, and how perceived leader empowerment functions as a motivational contingency that shapes these responses. Design/methodology/approach Study 1 employed an experimental causal-chain approach using a recall paradigm to support causal relationships between perceived customer dissatisfaction and two behaviors through workplace anxiety. In Study 2, an experience sampling methodology design with U.S. hospitality frontline employees was conducted via CloudResearch. Findings Perceived customer dissatisfaction increases employees’ workplace anxiety, which in turn, leads to voice behavior. Moreover, employees who perceive higher leader empowerment are less likely to withdraw when experiencing workplace anxiety. Practical implications Organizations can turn customer dissatisfaction into opportunities for learning and improvement by recognizing workplace anxiety as a motivator for positive behavior and by empowering employees to manage their emotions and respond proactively. Such practices can help build a more resilient, adaptive and productive workforce. Originality/value This research shifts customer dissatisfaction from a customer-focused to an employee-focused perspective. Customer dissatisfaction can be perceived as a high job demand that triggers employees’ workplace anxiety and results in divergent behavioral responses, namely, voice and withdrawal, contingent on leader empowerment.",TRUE,FALSE,"https://openalex.org/W7202177632","experience sampling",TRUE,FALSE,TRUE,FALSE,"ok","mistral-medium-3.5-128b","v2","2026-08-13 10:15:25 CEST",TRUE,TRUE,FALSE,"unclear","medium",0.9,"Uses experience sampling methodology with human subjects (hospitality employees) but does not explicitly state data availability.","{ ""relevant_esm"": true, ""empirical_study"": true, ""data_openly_available"": false, ""data_access_route"": ""unclear"", ""priority"": ""medium"", ""confidence"": 0.9, ""reason"": ""Uses experience sampling methodology with human subjects (hospitality employees) but does not explicitly state data availability."" }",
"10.1145/3789240.3829142","https://doi.org/10.1145/3789240.3829142","openalex","2026-08-11","EMA: Efficient Model Adaptation for Learning-based Systems",,FALSE,FALSE,"https://openalex.org/W7202174032","ema",TRUE,TRUE,FALSE,TRUE,"ok","mistral-medium-3.5-128b","v2","2026-08-13 10:15:28 CEST",FALSE,FALSE,FALSE,"unclear","low",1,"Title indicates EMA refers to 'Efficient Model Adaptation' (non-human-behavior meaning), not ecological momentary assessment.","{ ""relevant_esm"": false, ""empirical_study"": false, ""data_openly_available"": false, ""data_access_route"": ""unclear"", ""priority"": ""low"", ""confidence"": 1.0, ""reason"": ""Title indicates EMA refers to 'Efficient Model Adaptation' (non-human-behavior meaning), not ecological momentary assessment."" }",
"10.17185/duepublico/86997","https://doi.org/10.17185/duepublico/86997","openalex","2026-08-11","Impaired control in real-life settings of gaming disorder and problematic pornography use","Computerspielstörung (CS) und Pornografie-Nutzungs-Störung (PNS) sind beides potenzielle Störungsbilder, die im Kontext der Verhaltensabhängigkeiten konzeptualisiert werden können. Sowohl CS als auch PNS sind charakterisiert durch eine verringerte Kontrolle über das Verhalten, eine zunehmende Priorisierung des Verhaltens, und eine Fortführung des Verhaltens trotz resultierender negativer Konsequenzen. Die verringerte Kontrolle über die jeweilige Verhaltensausführung wird als eines der zentralsten Symptome von Verhaltensabhängigkeiten betrachtet. Auf der Verhaltensebene zeigt sich verringerte Kontrolle in einzelnen konkreten Momenten der verringerten Kontrolle über die Verhaltensausführung im Alltag. Diese Konzeptualisierung scheint in der bisherigen Forschung bislang nur eine untergeordnete Rolle zu spielen. Ziel dieser kumulativen Dissertation ist es, zu untersuchen, wieso und wann solche Momente verringerter Kontrolle im Alltag von Personen mit CS und PNS auftreten. Zur Untersuchung zugrunde liegender affektiver, kognitiver und motivationaler Mechanismen realer Momente verringerter Kontrolle werden zwei theoretische Rahmenmodelle integriert, nämlich die Verhaltenssucht-Perspektive mit einem Fokus auf dem I-PACE-Modell, sowie die Selbstregulations-Perspektive mit einem Fokus auf dem PI-Modell der Selbstkontrolle. In der ersten Schrift wird bestehende Forschung zu Verhaltensabhängigkeiten im natürlichen Umfeld systematisch aufgearbeitet, um methodische Ansätze zur Untersuchung von Momenten verringerter Kontrolle zu identifizieren, sowie zentrale zugrunde liegende Mechanismen der Ausführung realen Verhaltens herauszuarbeiten. Reizreaktivität, Craving und Verstärkungsmechanismen erwiesen sich dabei als zentrale Prädiktoren der realen Verhaltensausführung, während die Befundlage zur Inhibitionskontrolle bislang begrenzt und inkonsistent erscheint. Im Rahmen der zweiten Schrift wurde das Dual-Prozess-Zusammenspiel von Reiz-Reaktivität und Craving, sowie die Reduktion der verhaltensspezifischen Inhibitionskontrolle auf Grundlage einer Labor-Erhebung und eines Ambulatory Assessments bei CS und PNS untersucht. Die Ergebnisse zeigten, dass innerhalb von Personen ein erhöhtes Craving mit einer verminderten verhaltensspezifischen Inhibitionskontrolle einherging, was ihrerseits eine erhöhte Wahrscheinlichkeit für das Auftreten eines Moments der verringerten Kontrolle vorhersagte. In der dritten Schrift wurden Craving, Regulationsmotivation und Selbstlizenzierung als zugrunde liegende Mechanismen von Momenten der verringerten Kontrolle in konflikthaften Alltagssituationen bei CS und PNS untersucht. Die Ergebnisse zeigten, dass erhöhtes Craving und stärkere Selbstlizenzierung einen nachfolgenden Moment der verringerten Kontrolle vorhersagten; Regulationsmotivation tat dies hingegen nicht. Insgesamt tragen die Befunde dieser Dissertation dazu bei, bestehende methodische Ansätze zur Untersuchung des Symptoms beeinträchtigter Kontrolle im alltäglichen, natürlichen Umfeld bei Verhaltensabhängigkeiten wie CS und PNS zu erweitern. Besonders hervorzuheben ist, dass die Erkenntnisse dieser Dissertation in einem theoretischen Rahmenmodell zugrunde liegender affektiver, kognitiver und motivationaler Mechanismen spezifischer Momente verringerter Kontrolle integriert werden. Dieses Rahmenmodell dient erstens als Grundlage für zukünftige Studien zu verringerter Kontrolle in realen Situationen. Zweitens ist es auch von klarer klinischer Relevanz für Prävention und Intervention, da es jene Prozesse herausstellt, die in realen Momenten verringerte Kontrolle bei Verhaltensabhängigkeiten, wie CS und PNS, besonders bedeutsam sind.",TRUE,FALSE,"https://openalex.org/W7202155360","ambulatory assessment",TRUE,FALSE,TRUE,FALSE,"ok","mistral-medium-3.5-128b","v2","2026-08-13 10:15:32 CEST",TRUE,TRUE,FALSE,"unclear","medium",0.9,"Abstract describes original human-subject research using Ambulatory Assessment (a form of ESM/EMA) to study real-life moments of impaired control in gaming disorder and problematic pornography use. Empirical data collection is confirmed, but no explicit mention of open/public data access is provided.","{ ""relevant_esm"": true, ""empirical_study"": true, ""data_openly_available"": false, ""data_access_route"": ""unclear"", ""priority"": ""medium"", ""confidence"": 0.9, ""reason"": ""Abstract describes original human-subject research using Ambulatory Assessment (a form of ESM/EMA) to study real-life moments of impaired control in gaming disorder and problematic pornography use. Empirical data collection is confirmed, but no explicit mention of open/public data access is provided."" }",
"10.17605/osf.io/anvkd","https://doi.org/10.17605/osf.io/anvkd","openalex","2026-08-11","Traditional Masculinity in Daily Life: Ecological Momentary Assessment of Psychopathological Symptoms in Young Men","-",TRUE,FALSE,"https://openalex.org/W7202222453","ecological momentary assessment",TRUE,TRUE,FALSE,FALSE,"ok","mistral-medium-3.5-128b","v2","2026-08-13 10:15:35 CEST",FALSE,FALSE,FALSE,"unclear","low",0,"Abstract missing; insufficient evidence to confirm ESM/EMA relevance or empirical study.","{ ""relevant_esm"": false, ""empirical_study"": false, ""data_openly_available"": false, ""data_access_route"": ""unclear"", ""priority"": ""low"", ""confidence"": 0.0, ""reason"": ""Abstract missing; insufficient evidence to confirm ESM/EMA relevance or empirical study."" }",
"10.2196/85991","https://doi.org/10.2196/85991","openalex","2026-08-11","Behavioral and Contextual Patterns Derived From Ecological Momentary Assessment and Wearable Sensors and Their Associations With Health-Related Outcomes: WEALTH Cross-Sectional Study","Abstract Background Physical activity, sedentary behavior, sleep, and eating behavior are recognized as key contributors to physical and mental health. Ecological momentary assessment (EMA) can capture both the temporal variations and contextual correlates of these behaviors. Objective This study aimed to identify, in adults, (1) multibehavioral clusters, including the social, physical, and psychological contexts as assessed by EMA; and (2) the associations of these behaviors with selected health-related outcomes. Methods A sample of 510 participants from Czechia, Germany, France, and Ireland, with cross-sectional data collected in 2023‐2024, was included (WEALTH study; median age 35.5, IQR 25.0-50.0 y; n=289, 56.7% female participants). During a 7-day free-living period, data on sedentary behavior (activPAL), physical activity (ActiGraph), sleep, eating behavior, and contextual characteristics (EMA) were collected. Dietary intake (Food Frequency Questionnaire) was assessed prior to the 7-day period. We used factor analysis of mixed data on 35 variables and then applied hierarchical clustering on principal components. Linear regression models with robust variance were used to examine associations between the clusters and health-related quality of life (36-Item Short Form Health Survey), well-being (5-item World Health Organization Well-Being Index), and handgrip strength. A multinomial logistic regression was used to examine the association between clusters and self-rated health. Results Four multibehavioral clusters were identified: unhealthy behavior (n=109, reference group), mixed behavior–healthy diet (n=173), mixed behavior–stable good mood (n=142), and healthy behavior (n=86). The mixed behavior–stable good mood and healthy behavior clusters showed significantly higher average scores on mental health-related quality of life (β=6.32, 95% CI 3.73‐8.91 and β=5.61, 95% CI 2.47‐8.75, respectively) and well-being (β=11.62, 95% CI 7.86‐15.38 and β=9.63, 95% CI 5.17‐14.10, respectively) compared with the unhealthy behavior cluster. Participants in these clusters and those in the mixed behavior–healthy diet cluster tended to report better perceived health than those in the unhealthy behavior cluster (odds ratio [OR] 3.19, 95% CI 1.20‐8.49; OR 9.85, 95% CI 3.54‐27.40; OR 12.18, 95% CI 4.04‐36.71, respectively). Conclusions These findings indicate that engaging in multiple healthy lifestyle behaviors is associated with better health outcomes than focusing on a single domain and demonstrate the opportunity to identify meaningful multibehavioral patterns related to health by using EMA combined with body-worn movement sensors.",TRUE,FALSE,"https://openalex.org/W7202204496","ecological momentary assessment",TRUE,TRUE,TRUE,FALSE,"ok","mistral-medium-3.5-128b","v2","2026-08-13 10:15:38 CEST",TRUE,TRUE,FALSE,"unclear","medium",0.95,"Original human-subject ESM/EMA study with wearable sensors and repeated measurements, but data access is not explicitly stated as open or request-based.","{ ""relevant_esm"": true, ""empirical_study"": true, ""data_openly_available"": false, ""data_access_route"": ""unclear"", ""priority"": ""medium"", ""confidence"": 0.95, ""reason"": ""Original human-subject ESM/EMA study with wearable sensors and repeated measurements, but data access is not explicitly stated as open or request-based."" }",
"10.31234/osf.io/2wk5c_v1","https://doi.org/10.31234/osf.io/2wk5c_v1","openalex","2026-08-11","Why we should be using real world data to improve pharmacotherapy in psychiatry","Psychiatric pharmacotherapy is often effective for patients. For example, symptoms of attention deficit hyperactivity disorder (ADHD) are typically ameliorated by stimulant medications. However, identifying the best medication for an individual or their optimal dose can be difficult because clinical visits and retrospective symptom reports only capture snapshots of the underlying dynamic, context-dependent treatment trajectories. Real-world data approaches, obtained from smartphones and wearable technologies, can potentially provide a rich source of information for individual optimization of pharmacotherapy, yet they are infrequently used. First, these tools enable remote, high-frequency monitoring of medication efficacy and side effects, tracking core symptoms plus comorbid psychopathology, sleep, and autonomic function throughout titration. Second, densely sampled cognitive task data and ecological momentary assessment offer a route to understanding changes to neurocognitive mechanisms in response to medication. Third, real-world data can help redress the persistent sex disparities in pharmacotherapeutic research and practice by characterizing how symptoms and treatment response interact with sex-specific life events. We conclude with recommendations for future research and practice.",TRUE,FALSE,"https://openalex.org/W7202168399","ecological momentary assessment",TRUE,FALSE,TRUE,FALSE,"ok","mistral-medium-3.5-128b","v2","2026-08-13 10:15:41 CEST",FALSE,FALSE,FALSE,"unclear","low",0.9,"Commentary/proposal discussing potential of ESM/EMA but no original data collection or reusable dataset described.","{ ""relevant_esm"": false, ""empirical_study"": false, ""data_openly_available"": false, ""data_access_route"": ""unclear"", ""priority"": ""low"", ""confidence"": 0.9, ""reason"": ""Commentary/proposal discussing potential of ESM/EMA but no original data collection or reusable dataset described."" }",
"10.47671/tvg.82.25.106","https://doi.org/10.47671/tvg.82.25.106","openalex","2026-08-11","De keerzijde van de placenta: respiratoire klachten als eerste presentatie van een zeldzaam choriocarcinoom","The hidden face of the placenta: pulmonary metastasis due to choriocarcinoma Introduction: Gestational trophoblastic neoplasia (GTN) comprises rare tumors arising from placental trophoblastic cells. Choriocarcinoma is a potentially life-threatening form of GTN but generally carries an excellent prognosis due to high chemosensitivity. Although pulmonary metastases are common, presentation with respiratory symptoms is rare and may cause diagnostic delay. Case: A 32-year-old woman, G1P0, with a history of a non-viable pregnancy treated with misoprostol and curettage, presented with chest pain and hemoptysis. Laboratory analysis showed an hCG level of 271 320 IU/L. Chest CT revealed bilateral centrilobular pulmonary nodules. FDG-PET/CT and pelvic MRI confirmed a large uterine choriocarcinoma with lung metastases and signs of uterine perforation. The disease was classified as FIGO stage III with a WHO prognostic score of 12, indicating high-risk GTN. Treatment and course: The patient received 11 cycles of EMA-CO chemotherapy until hCG became undetectable, followed by 4 consolidation cycles. Treatment was well tolerated and resulted in complete remission with persistently undetectable hCG during follow-up. After one year of contraception, the patient underwent an ICSI program, resulting in a successful intrauterine pregnancy. Discussion: This case highlights that respiratory symptoms may be the first manifestation of choriocarcinoma. hCG measurement should be considered in women with respiratory complaints and risk factors such as a recent or possibly unrecognized pregnancy. Strict hCG monitoring for one year remains essential because of a small but real recurrence risk. Conclusion: Choriocarcinoma may present atypically with respiratory symptoms. In women with recent pregnancy and respiratory complaints, hCG testing is warranted. With appropriate imaging, staging and treatment, the prognosis is excellent, even in metastatic disease.",TRUE,FALSE,"https://openalex.org/W7202173701","ema",TRUE,FALSE,TRUE,TRUE,"ok","mistral-medium-3.5-128b","v2","2026-08-13 10:15:45 CEST",FALSE,FALSE,FALSE,"unclear","low",1,"Case report on choriocarcinoma; unrelated to ESM/EMA human-subject research.","{ ""relevant_esm"": false, ""empirical_study"": false, ""data_openly_available"": false, ""data_access_route"": ""unclear"", ""priority"": ""low"", ""confidence"": 1, ""reason"": ""Case report on choriocarcinoma; unrelated to ESM/EMA human-subject research."" }",
"10.5281/zenodo.21883199","https://doi.org/10.5281/zenodo.21883199","openalex","2026-08-11","MODEL ADOPTION #917: REJECT — TG AUTO: New edge proposed: accumulation_distribution_volume_saturation — E8 Intelligence Research","DECISION: REJECT ELEMENT: The ADL vs 20-EMA crossover plus volume-percentile filter is not compatible with E8 sacred geometry timing. E8 entries are triggered by harmonic rhythm nodes (Gods-Clock), not bar-by-bar ADL divergence. The filter would fire at arbitrary bar closes, not at E8 entry windows, creating a timing mismatch that degrades the model's core edge. Additionally, the 20-period ADL EMA is too slow for 15s–7m scalps — by the time the condition confirms, the E8 entry window has already passed or price has moved beyond the target geometry. EXPECTED IMPACT: If forced into the model, win rate would drop by ~3–5% because the filter would block valid E8 shorts that occur during institutional accumulation (volume spikes in uptrends that are not distribution). The lagging ADL EMA would also cause missed entries on fast breakouts, reducing total trade count by ~15–20% with no net PnL improvement. RISK: The filter introduces a false sense of safety. In ranging markets, ADL/volume d Author: Andrew Stewart Caldin, Independent Researcher, UK. Part of the E8 Intelligence Research series. Platform: e8intelligence.com",TRUE,FALSE,"https://openalex.org/W7202162990","ema",TRUE,FALSE,TRUE,TRUE,"ok","mistral-medium-3.5-128b","v2","2026-08-13 10:15:48 CEST",FALSE,FALSE,FALSE,"unclear","low",1,"Irrelevant to ESM/EMA human-subject research; pertains to financial trading model (EMA as exponential moving average).","{ ""relevant_esm"": false, ""empirical_study"": false, ""data_openly_available"": false, ""data_access_route"": ""unclear"", ""priority"": ""low"", ""confidence"": 1, ""reason"": ""Irrelevant to ESM/EMA human-subject research; pertains to financial trading model (EMA as exponential moving average)."" }",
"10.5281/zenodo.21883200","https://doi.org/10.5281/zenodo.21883200","openalex","2026-08-11","MODEL ADOPTION #917: REJECT — TG AUTO: New edge proposed: accumulation_distribution_volume_saturation — E8 Intelligence Research","DECISION: REJECT ELEMENT: The ADL vs 20-EMA crossover plus volume-percentile filter is not compatible with E8 sacred geometry timing. E8 entries are triggered by harmonic rhythm nodes (Gods-Clock), not bar-by-bar ADL divergence. The filter would fire at arbitrary bar closes, not at E8 entry windows, creating a timing mismatch that degrades the model's core edge. Additionally, the 20-period ADL EMA is too slow for 15s–7m scalps — by the time the condition confirms, the E8 entry window has already passed or price has moved beyond the target geometry. EXPECTED IMPACT: If forced into the model, win rate would drop by ~3–5% because the filter would block valid E8 shorts that occur during institutional accumulation (volume spikes in uptrends that are not distribution). The lagging ADL EMA would also cause missed entries on fast breakouts, reducing total trade count by ~15–20% with no net PnL improvement. RISK: The filter introduces a false sense of safety. In ranging markets, ADL/volume d Author: Andrew Stewart Caldin, Independent Researcher, UK. Part of the E8 Intelligence Research series. Platform: e8intelligence.com",TRUE,FALSE,"https://openalex.org/W7202182301","ema",TRUE,FALSE,TRUE,TRUE,"ok","mistral-medium-3.5-128b","v2","2026-08-13 10:15:51 CEST",FALSE,FALSE,FALSE,"unclear","low",1,"Irrelevant to ESM/EMA human-subject research; pertains to trading model/algorithm (EMA as exponential moving average).","{ ""relevant_esm"": false, ""empirical_study"": false, ""data_openly_available"": false, ""data_access_route"": ""unclear"", ""priority"": ""low"", ""confidence"": 1, ""reason"": ""Irrelevant to ESM/EMA human-subject research; pertains to trading model/algorithm (EMA as exponential moving average)."" }",
